FECHA,MARCA,MODELO,MERCANCÍA,US$ CIF,CANTIDAD COMERCIAL,UNIDAD COMERCIAL
2025-10-23,VELJAN,VS24-40383,"CARTUCHO, VELJAN, VS24-40383",9811.2,12.0,UNIDAD
2025-10-23,VELJAN,VS14-29879-0,"KIT DE SELLOS, VELJAN, VS14-29879-0",2343.03,30.0,UNIDAD
2025-10-23,VELJAN,VS14-28180,"EJES, VELJAN, VS14-28180",2698.17,15.0,UNIDAD
2025-10-23,VELJAN,VT6ED-66 42 1R00 B1,"BOMBA DOBLE, VELJAN, VT6ED-66 42 1R00 B1",1914.7,1.0,UNIDAD
2025-10-23,VELJAN,VS24-10228,"CARTUCHOS, VELJAN, VS24-10228",7869.13,14.0,UNIDAD
2025-10-23,VELJAN,M4C,"MOTORES OLEOHIDRAULICOS, VELJAN, M4C",3355.27,4.0,UNIDAD
2025-10-10,KOCSIS,DV-206676,PINON DE ARRCADOR. KOCSIS. DV-206676,1322.4,2.0,UNIDAD
2025-10-10,KOCSIS,B1-12D2150-3A200,ARRANCADOR HIDRAULICO. KOCSIS. B1-12D2150-3A200,1779.39,1.0,UNIDAD
2025-09-12,VELJAN,VR5V085,"VALVULA DE ALIVIO, VELJAN, VR5V085",443.2,1.0,UNIDAD
2025-09-08,SAI,GM4 1000,"MOTORES OLEOHIDRAULICOS, SAI, GM4 1000",13351.26,4.0,UNIDAD
2025-09-08,CHARLYNN,105-1001,"MOTORES OLEOHIDRAULICOS, CHARLYNN, 105-1001",382.39,1.0,UNIDAD
2025-09-08,REXROTH,OD 1562,"CARTUCHO DE VALVULA, REXROTH, OD 1562",89.61,1.0,UNIDAD
2025-09-08,CHARLYNN,61238-000,"KIT DE SELLOS, CHARLYNN, 61238-000",30.0,1.0,UNIDAD
2025-09-08,REXROTH,OD2360,"BOBINA, REXROTH, OD2360",13.61,1.0,UNIDAD
2025-09-08,REXROTH,'R93400,"VALVULA, REXROTH, R93400",122.68,2.0,UNIDAD
2025-09-08,CHARLYNN,61238-000,"KIT DE SELLOS, CHARLYNN, 61238-000",269.95,9.0,UNIDAD
2025-09-08,DANFOSS,OMR200,"MOTORES OLEOHIDRAULICOS, DANFOSS, OMR200",297.55,1.0,UNIDAD
2025-09-08,SAI,GM2 420,"MOTORES OLEOHIDRAULICOS, SAI, GM2 420",3397.8,2.0,UNIDAD
2025-09-08,SAI,GM4 1000,"MOTORES OLEOHIDRAULICOS, SAI, GM4 1000",6723.62,2.0,UNIDAD
2025-09-08,CHARLYNN,61235-000,"KIT DE SELLOS, CHARLYNN, 61235-000",49.19,2.0,UNIDAD
2025-09-08,SAI,GM5 1300,"KIT DE SELLOS, SAI, GM5 1300",1841.19,3.0,UNIDAD
2025-08-15,VULKAN,CD4 SL,"TAPAS DE ALINEADORES, VULKAN, CD4 SL",482.21,16.0,UNIDAD
2025-08-15,VULKAN,CD3 SL,"TAPAS DE ALINEADORES, VULKAN, CD3 SL",319.12,12.0,UNIDAD
2025-08-15,VULKAN,CD3 SL,"ALINEADORES, VULKAN, CD3 SL",1765.77,12.0,UNIDAD
2025-08-15,VULKAN,CD4 SL,"ALINEADORES, VULKAN, CD4 SL",2912.22,16.0,UNIDAD
2025-08-15,VULKAN,CD4 SL,"ALINEADORES, VULKAN, CD4 SL",2912.22,16.0,UNIDAD
2025-08-15,VULKAN,CD3 SL,"ALINEADORES, VULKAN, CD3 SL",1765.77,12.0,UNIDAD
2025-08-15,VULKAN,CD4 SL,"TAPAS DE ALINEADORES, VULKAN, CD4 SL",482.21,16.0,UNIDAD
2025-08-15,VULKAN,CD3 SL,"TAPAS DE ALINEADORES, VULKAN, CD3 SL",319.12,12.0,UNIDAD
2025-08-01,VULKAN,105-02-004-22-000,"SOPORTE PARA MOTOR DIESEL, VULKAN, S/M",4989.17,8.0,UNIDAD
2025-08-01,VULKAN,105-02-004-24-000,"SOPORTE PARA MOTOR DIESEL, VULKAN, S/M",4989.17,8.0,UNIDAD
