month_year,MARCA,MODELO,MERCANCÍA,UNIDAD COMERCIAL,US$ CIF,CANTIDAD COMERCIAL
2024-02,Pullmaster,23123,"KIT DE SELLOS, Pullmaster, 23123",KIT,1613.5,4.0
2024-02,TULSA,4335,"KIT DE SELLOS, TULSA, 4335",KIT,247.35,1.0
2024-02,TULSA,41752,"PORTA RODAMIENTO, TULSA, 41752",UNIDAD,415.04,1.0
2024-04,METARIS,4535,"BOMBA OLEOHIDRAULICA, METARIS, 4535",UNIDAD,2582.69,2.0
2024-04,METARIS,687588,"KIT DE SELLOS, METARIS, 687588",UNIDAD,1555.66,4.0
2024-04,METARIS,MHDV20,"VALVULA, METARIS, MHDV20",UNIDAD,1004.91,1.0
2024-04,METARIS,S14-28180,"EJES, METARIS, S14-28180",UNIDAD,2032.1200000000001,10.0
2024-04,METARIS,T6ED,"BOMBA OLEOHIDRAULICA, METARIS, T6ED",UNIDAD,2869.82,1.0
2024-04,METARIS,V20,"KIT DE SELLOS, METARIS, V20",UNIDAD,99.6,10.0
2024-04,VULKAN,2K57620029,"MENBRA PARA ACOPLE, VULKAN, S/M",UNIDAD,6914.57,1.0
2024-05,VULKAN,7033614000,"ARANDELAS, VULKAN, S/M",UNIDAD,404.16,32.0
2024-05,VULKAN,RATO-R,"ELEMENTO DE MEMBRANA  RATO, VULKAN, RATO-R",UNIDAD,43778.55,1.0
2024-05,VULKAN,RATO-R 25,"CONJUNTO DE MEMBRANA, VULKAN, RATO-R 25",UNIDAD,7291.15,1.0
2024-05,VULKAN,RATO-S 1711,"ELEMENTO DE ACOPLE, VULKAN, RATO-S 1711",UNIDAD,7449.4,1.0
2024-06,PULLMASTER,M25-3-101-3,"WINCHE, PULLMASTER, M25-3-101-3",UNIDAD,21020.38,1.0
2024-06,VELJAN,VM4C-043-002,"MOTOR HIDRAULICO DE VANES, VELJAN, VM4C-043-002",PIEZA,2507.96,3.0
2024-06,VELJAN,VS14-29879,"KIT DE SELLOS, VELJAN, VS14-29879",UNIDAD,1245.54,16.0
2024-06,VELJAN,VS24-10228,"CARTUCHO DE ACERO, VELJAN, VS24-10228",PIEZA,4855.43,8.0
2024-06,VELJAN,VT6ED-072-005,"BOMBA HIDRAULICA DE VANES, VELJAN, VT6ED-072-005",UNIDAD,3817.27,2.0
2024-06,VULKAN,RATO-S,"ELEMENTO DE ACOPLE, VULKAN, RATO-S",UNIDAD,7757.9,1.0
2024-07,Metaris,923100,"CARTUCHO DE MOTOR, Metaris, 923100",UNIDAD,1866.11,1.0
2024-07,Metaris,S14-28180,"EJES, Metaris, S14-28180",UNIDAD,1967.33,10.0
2024-07,REXNORD,350AMR,"ACOPLE, REXNORD, 350AMR",UNIDAD,3117.58,1.0
2024-08,CHARLYN,104,"MOTOR OLEOHIDRAULICO, CHARLYN, 104",PIEZA,1225.15,4.0
2024-08,CHARLYN,109,"MOTOR OLEOHIDRAULICO, CHARLYN, 109",PIEZA,2136.64,4.0
2024-08,CHARLYN,112,"MOTOR OLEOHIDRAULICO, CHARLYN, 112",PIEZA,1433.33,2.0
2024-08,CHARLYN,109-1106,"MOTOR OLEOHIDRAULICO, CHARLYN, 109-1106",PIEZA,3204.96,6.0
2024-08,CHARLYN,112-1064,"MOTOR OLEOHIDRAULICO, CHARLYN, 112-1064",PIEZA,686.21,1.0
2024-08,PULLMASTER,21252,"DISCOS DIVISORES, PULLMASTER, 21252",UNIDAD,808.3900000000001,20.0
2024-08,PULLMASTER,23123,"KIT DE SELLOS, PULLMASTER, 23123",KIT,796.17,2.0
2024-08,PULLMASTER,23125,"KIT DE SELLOS, PULLMASTER, 23125",KIT,888.94,2.0
2024-08,PULLMASTER,23126,"KIT DE SELLOS, PULLMASTER, 23126",KIT,976.88,2.0
2024-08,PULLMASTER,25194,"DISCOS DE FRICCION, PULLMASTER, 25194",UNIDAD,426.73,12.0
2024-08,PULLMASTER,25304,"DISCOS DE FRICCION, PULLMASTER, 25304",UNIDAD,933.55,11.0
2024-08,PULLMASTER,25305,"DISCOS DIVISORES, PULLMASTER, 25305",UNIDAD,979.63,12.0
2024-08,REINTJES,WAF0743L,"ALAMBRE DE FIJACION, REINTJES, WAF0743L",METRO,7.25,1.6
2024-08,REINTJES,WAF0743L,"ANILLO DE FIJACION, REINTJES, WAF0743L",UNIDAD,116.48,6.0
2024-08,REINTJES,WAF0743L,"ANILLO FIJACION, REINTJES, WAF0743L",UNIDAD,351.72,6.0
2024-08,REINTJES,WAF0743L,"ANODO, REINTJES, WAF0743L",UNIDAD,354.0,2.0
2024-08,REINTJES,WAF0743L,"ARRASTRADOR, REINTJES, WAF0743L",UNIDAD,3047.39,1.0
2024-08,REINTJES,WAF0743L,"BOLA DE VALVULA DE RETROCESO, REINTJES, WAF0743L",UNIDAD,18.73,4.0
2024-08,REINTJES,WAF0743L,"BULON ROSCADO, REINTJES, WAF0743L",UNIDAD,651.77,24.0
2024-08,REINTJES,WAF0743L,"CARTUCHO, REINTJES, WAF0743L",UNIDAD,192.26,2.0
2024-08,REINTJES,WAF0743L,"CASQUILLO, REINTJES, WAF0743L",UNIDAD,395.05,1.0
2024-08,REINTJES,WAF0743L,"DISCO EMBRAGUE EXTERIOR, REINTJES, WAF0743L",UNIDAD,3628.56,24.0
2024-08,REINTJES,WAF0743L,"DISCO EMBRAGUE INTERIOR, REINTJES, WAF0743L",UNIDAD,3233.01,22.0
