FECHA,MARCA,MODELO,MERCANCÍA,US$ CIF,CANTIDAD COMERCIAL,UNIDAD COMERCIAL
2025-09-15,VELJAN,VM4C-043-002,"MOTOR HIDRAULICO, VELJAN, VM4C-043-002",2519.41,3.0,UNIDAD
2025-09-15,VELJAN,V034-67030,"ANILLO, VELJAN, V034-67030",1477.66,5.0,UNIDAD
2025-09-15,VELJAN,VS24-10228,"CARTUCHO, VELJAN, VS24-10228",5516.59,10.0,UNIDAD
2025-09-15,VELJAN,VS14-28180,"EJE, VELJAN, VS14-28180",1763.96,10.0,UNIDAD
2025-09-15,VELJAN,V034-66736,"ANILLO, VELJAN, V034-66736",1474.58,5.0,UNIDAD
2025-08-27,CHAR-LYNN,119-1043-003,"MOTOR HYDRAULICO, CHAR-LYNN, 119-1043-003",9686.33,5.0,UNIDAD
2025-08-27,CHAR-LYNN,114-1035-006,"MOTOR HIDRAULICO, CHAR-LYNN, 114-1035-006",1786.26,2.0,UNIDAD
2025-08-27,CHAR-LYNN,119-1043-003,"MOTOR HIDRAULICO, CHAR-LYNN, 119-1043-003",9068.84,5.0,UNIDAD
2025-08-20,SAI,0053100081,"MOTOR HIDRAULICO, SAI, 0053100081",1939.88,1.0,UNIDAD
2025-08-20,PULLMASTER,23123,"KIT DE SELLOS, PULLMASTER, 23123",3652.32,10.0,UNIDAD
2025-08-20,SAI,0051050008,"MOTOR HIDRAULICO, SAI, 0051050008",993.1,1.0,UNIDAD
2025-08-20,SAI,0055030076,"MOTOR HIDRAULICO, SAI, 0055030076",8539.11,3.0,UNIDAD
2025-08-20,PULLMASTER,25953,"DISCOS, PULLMASTER, 25953",440.66,10.0,UNIDAD
2025-08-20,SAI,54100031,"MOTOR HIDRAULICO, SAI, 54100031",24112.65,10.0,UNIDAD
2025-08-16,MARION,MS-150-5,"ELEMENTO DE SUCCION, MARION, MS-150-5",1740.2,10.0,UNIDAD
2025-08-16,BRAND,FC51-3/4-SS,"CONTROL DE EJE, BRAND, FC51-3/4-SS",298.6,3.0,UNIDAD
2025-08-16,CHAR-LYNN,119-1042,"MOTOR HIDRAULICO, CHAR-LYNN, 119-1042",5836.56,3.0,UNIDAD
2025-08-16,CHAR-LYNN,8507-003,"GEROLER PARA MOTOR CHAR LYNN, CHAR-LYNN, 8507-003",752.83,2.0,UNIDAD
2025-08-16,CHAR-LYNN,61234-00,"JUEGO DE SELLOS PARA MOTOR, CHAR-LYNN, 61234-00",109.47,6.0,UNIDAD
2025-08-16,CHAR-LYNN,6405-00,"JUEGO DE SELLOS PARA MOTOR, CHAR-LYNN, 6405-00",506.96,17.0,UNIDAD
2025-08-16,CHAR-LYNN,6406-00,"SELLO PARA EJE HIDRAULICO, CHAR-LYNN, 6406-00",626.61,20.0,UNIDAD
