month_year,MARCA,MODELO,MERCANCÍA,UNIDAD COMERCIAL,US$ CIF,CANTIDAD COMERCIAL
2024-01,DENISON,S14-28180-0,"EJE PARA MOTOR, DENISON, S14-28180-0",UNIDAD,1447.95,6.0
2024-01,DENISON,S24-10170-0,"SELLOS HIDRAULICOS, DENISON, S24-10170-0",UNIDAD,609.42,6.0
2024-01,DENISON,S24-26387-0,"SELLOS HIDRAULICOS, DENISON, S24-26387-0",UNIDAD,495.21,6.0
2024-02,BRAND,FC-51-1,"VALVULA CONTROL DE FLUJO, BRAND, FC-51-1",UNIDAD,2178.31,4.0
2024-02,GRESEN,LO-50-D,"VALVULA DE SEGURIDAD PARA SISTEMAS HIDRAULICO, GRESEN, LO-50-D",UNIDAD,1172.13,10.0
2024-03,PULLMASTER,PL5-12-210-1,"WINCHE PARA PESCA, PULLMASTER, PL5-12-210-1",UNIDAD,3464.16,1.0
2024-04,PULLMASTER,M-12-3-97-7,"WINCHE, PULLMASTER, M-12-3-97-7",UNIDAD,7581.66,1.0
2024-04,SAI,'K140000250,"DISCO DE BRONCE, SAI, K140000250",UNIDAD,383.91,8.0
2024-04,SAI,0053060089,"MOTOR HIDRAULICO, SAI, 0053060089",UNIDAD,10490.5,6.0
2024-04,SAI,0053070237,"MOTOR HIDRAULICO, SAI, 0053070237",UNIDAD,12948.12,8.0
2024-04,SAI,0054020017,"MOTOR HIDRAULICO, SAI, 0054020017",UNIDAD,10980.11,4.0
2024-04,SAI,0054100031,"MOTOR HIDRAULICO, SAI, 0054100031",UNIDAD,22841.74,10.0
2024-04,SAI,0133106394,"EJE, SAI, 0133106394",UNIDAD,1657.46,2.0
2024-04,SAI,0140000012,"BUSHING / REDUCCION PARADISTRIBUIDOR, SAI, 0140000012",UNIDAD,72.82,8.0
2024-04,SAI,0140047083,"TAPA DE DISTRIBUIDOR, SAI, 0140047083",UNIDAD,673.53,8.0
2024-04,SAI,0140130087,"DISTRIBUIDOR ROTATIVO, SAI, 0140130087",UNIDAD,791.39,8.0
2024-04,SAI,0190000083,"DISTRIBUTOR, SAI, 0190000083",UNIDAD,2698.27,4.0
2024-04,SAI,0190003187,"DISTRIBUIDOR ROTATIVO, SAI, 0190003187",UNIDAD,1212.1,4.0
2024-05,CHAR LYNN,0006167-000,"EJE PARA MOTOR HIDRAULICO, CHAR LYNN, 0006167-000",UNIDAD,523.56,3.0
2024-06,BRAND,B100-24SAE,"DIVISOR DE FLUJO, BRAND, B100-24SAE",UNIDAD,1165.45,1.0
2024-06,DELTA,'N190,"PANTALLA, DELTA, N190",UNIDAD,6615.45,4.0
2024-06,EATON VICKERS,374339,"EJE ESTRIADO, EATON VICKERS, 374339",UNIDAD,307.04,1.0
2024-07,DENISON,S24-10219-0,"JUEGO DE SELLOS, DENISON, S24-10219-0",UNIDAD,1779.21,20.0
2024-07,DENISON,S24-10228-0,"CARTUCHOS HIDRAULICOS, DENISON, S24-10228-0",UNIDAD,9454.71,10.0
2024-07,EATON CHAR LYNN,0006405-000,"JUEGO DE SELLOS, EATON CHAR LYNN, 0006405-000",UNIDAD,576.01,20.0
2024-07,EATON CHAR LYNN,0061238-000,"JUEGO DE SELLOS, EATON CHAR LYNN, 0061238-000",UNIDAD,191.43,10.0
2024-07,HATTELAND,JH19T14MMDMR1AAAA,"PANTALLA PARA RADAR, HATTELAND, JH19T14MMDMR1AAAA",UNIDAD,4441.77,2.0
2024-07,HATTELAND,JHMMDBR STD-A1,"SOPORTE PARA PANTALLA, HATTELAND, JHMMDBR STD-A1",UNIDAD,2957.19,14.0
2024-07,SAI,100002075,"SELLO PARA EJES, SAI, 100002075",UNIDAD,75.24,10.0
2024-07,SAI,153110094,"EJE ENCHAVETADO, SAI, 153110094",UNIDAD,5463.55,10.0
2024-07,SAI,'K190000250,"DISCO PARA BRONCE, SAI, K190000250",UNIDAD,2783.58,20.0
2024-07,SAI,GM3 1000 8ET D90,"MOTOR HIDR?ULICO, SAI, GM3 1000 8ET D90",UNIDAD,2334.76,1.0
2024-07,SAI,GM5A B54 1300 8EG D90,"MOTOR HIDRAULICO, SAI, GM5A B54 1300 8EG D90",UNIDAD,9537.5,4.0
2024-07,SAI,GS4 500 8G D90,"MOTOR HIDRAULICO, SAI, GS4 500 8G D90",UNIDAD,5439.23,2.0
2024-08,PULLMASTER,20458,"VALVULA DE ALIVIO, PULLMASTER, 20458",UNIDAD,330.36,5.0
2024-08,PULLMASTER,21252,"PLATO DIVISORIO, PULLMASTER, 21252",UNIDAD,492.06,14.0
2024-08,PULLMASTER,21952,"ADAPTADOR DE MOTOR, PULLMASTER, 21952",UNIDAD,1115.77,1.0
2024-08,PULLMASTER,25194,"PLATO DE FRICCION, PULLMASTER, 25194",UNIDAD,1298.81,42.0
2024-08,PULLMASTER,25304,"PLATO DE FRICCION, PULLMASTER, 25304",UNIDAD,885.7,12.0
2024-08,PULLMASTER,25795,"ADAPTADOR PARA MOTOR, PULLMASTER, 25795",UNIDAD,466.15,1.0
2024-08,PULLMASTER,25795,"JUEGO DE ENGRANAJES, PULLMASTER, 25795",UNIDAD,600.65,1.0
2024-08,PULLMASTER,25952,"PLATO DE FRICCION, PULLMASTER, 25952",UNIDAD,253.04,6.0
2024-08,PULLMASTER,'M25,"MAQUINILLA PULLMASTER,PULLMASTER,M25,",UNIDAD,17474.02,1.0
2024-09,DELTA,'N190,"PANTALLA LCD, DELTA, N190",UNIDAD,9998.14,6.0
2024-09,GRESEN,K-23026,"KIT ELEMENTO DE FILTRO, GRESEN, K-23026",KIT,1084.68,30.0
2024-09,KOCSIS,RPA-300363,"BOMBA DE CARGA, KOCSIS, RPA-300363",UNIDAD,3436.09,4.0
2024-10,MARCO,15092,"DISCO SEPARADOR, MARCO, 15092",UNIDAD,1445.97,10.0
2024-10,MARCO,17767,"DIAFRAGMA, MARCO, 17767",UNIDAD,903.73,10.0
2024-10,MARCO,25194,"DISCO DE FRICCION, MARCO, 25194",UNIDAD,158.93,5.0
2024-10,MARCO,82918,"VALVULA SELECTORA, MARCO, 82918",UNIDAD,2427.33,4.0
2024-10,MARCO,87465,"DISCO DE FRICCION, MARCO, 87465",UNIDAD,2127.89,10.0
2024-10,PULLMASTER,M18-3,"WINCHE, PULLMASTER, M18-3",UNIDAD,15740.03,1.0
2024-10,SAI,0053060089,"MOTOR HIDRAULICO, SAI, 0053060089",UNIDAD,10853.55,5.0
2024-10,SAI,0054100031,"MOTOR HIDRAULICO, SAI, 0054100031",UNIDAD,11551.37,5.0
2024-10,SAI,0153401212,"KIT GUARNIZ, SAI, 0153401212",KIT,1080.28,5.0
2024-10,SAI,0156413212,"KIT GUARNIZ, SAI, 0156413212",KIT,2147.89,5.0
2024-12,BRAND,FC51-1-1/4,"VALVULA CONTROL DE FLUJO, BRAND, FC51-1-1/4",UNIDAD,1694.55,3.0
2024-12,DENISON,014-27081-000,"MOTOR M4C, DENISON, 014-27081-000",UNIDAD,2398.71,2.0
2024-12,DENISON,S14-29879-0,"KIT DE SELLOS, DENISON, S14-29879-0",KIT,683.58,5.0
2024-12,DENISON,S24-10219-0,"KIT DE SELLOS, DENISON, S24-10219-0",KIT,1721.97,20.0
2024-12,DENISON,S24-26340-0,"EJE, DENISON, S24-26340-0",UNIDAD,544.74,2.0
2024-12,EATON CHAR LYNN,0008573-002,"GEROLER, EATON CHAR LYNN, 0008573-002",UNIDAD,2268.32,4.0
2024-12,MARION,MS-150-5,"ELEMENTO DE FILTRO, MARION, MS-150-5",UNIDAD,1615.13,10.0
2024-12,SAI,'K140000250,"DISCO DE BRONCE, SAI, K140000250",UNIDAD,459.06,10.0
2024-12,SAI,'K190000250,"DISCO DE BRONCE, SAI, K190000250",UNIDAD,2818.81,20.0
2024-12,SAI,0053060089,"MOTOR HIDRAULICO, SAI, 0053060089",UNIDAD,9379.72,5.0
2024-12,SAI,0054100031,"MOTOR HIDRAULICO, SAI, 0054100031",UNIDAD,9913.83,5.0
2024-12,SAI,0153110094,"EJE PARA MOTOR, SAI, 0153110094",UNIDAD,5428.23,10.0
2024-12,SAI,0154427212,"KIT DE GUARNIZION, SAI, 0154427212",KIT,6605.110000000001,20.0
2024-12,SAI,0156413212,"KIT DE GUARNIZION, SAI, 0156413212",KIT,4080.9,10.0
2025-01,DENISON,15373 5066,"JUEGO DE SELLOS, DENISON, 15373 5066",JUEGO,1474.94,15.0
2025-01,EATON CHAR LYNN,0061267-000,"KIT DE SELLOS, EATON CHAR LYNN, 0061267-000",KIT,122.04,2.0
2025-01,HATTELAND,JH MMDBR STD-A1,"SOPORTE PARA PANTALLA, HATTELAND, JH MMDBR STD-A1",UNIDAD,3436.59,15.0
2025-01,MARION,MS-150G-5C,"FILTRO SUCCION, MARION, MS-150G-5C",UNIDAD,11149.79,10.0
2025-01,PULLMASTER,M-18-3,"WINCHE, PULLMASTER, M-18-3",UNIDAD,16358.15,1.0
2025-03,CHAR LYNN,112-1068,"MOTOR HIDRAULICO, CHAR LYNN, 112-1068",UNIDAD,2482.5,3.0
2025-03,CHAR LYNN,119-1041,"MOTOR HIDRAULICO, CHAR LYNN, 119-1041",UNIDAD,4942.19,3.0
2025-03,HATTELAND,JH 19T14 MMD-MR1-AAAA,"PANTALLA PARA RADAR, HATTELAND, JH 19T14 MMD-MR1-AAAA",UNIDAD,12660.92,5.0
2025-03,KYB,MRH-135-2-SW,"MOTOR HIDRAULICO, KYB, MRH-135-2-SW",UNIDAD,7013.05,1.0
